30:00.0,-0.003607,0.001481,0.00653
31:00.0,-0.0032,0.001617,0.006708
32:00.0,-0.00278,0.001743,0.006862
33:00.0,-0.00235,0.00186,0.006991
34:00.0,-0.001911,0.001965,0.007095
35:00.0,-0.001465,0.00206,0.007174
36:00.0,-0.001012,0.002144,0.007228
37:00.0,-0.000555,0.002216,0.007256
38:00.0,-0.000096,0.002276,0.007258
39:00.0,0.000364,0.002324,0.007234
40:00.0,0.000823,0.00236,0.007185
41:00.0,0.00128,0.002384,0.00711
42:00.0,0.001732,0.002395,0.007009
43:00.0,0.002179,0.002393,0.006884
44:00.0,0.002618,0.002379,0.006734
45:00.0,0.003048,0.002353,0.006559
46:00.0,0.003467,0.002315,0.006362
47:00.0,0.003873,0.002265,0.006141
48:00.0,0.004266,0.002203,0.005898
49:00.0,0.004643,0.002131,0.005634
50:00.0,0.005003,0.002047,0.005349
51:00.0,0.005344,0.001953,0.005045
52:00.0,0.005666,0.001848,0.004722
53:00.0,0.005967,0.001735,0.004382
54:00.0,0.006246,0.001613,0.004026
55:00.0,0.006501,0.001482,0.003654
56:00.0,0.006732,0.001344,0.00327
57:00.0,0.006937,0.001199,0.002873
58:00.0,0.007116,0.001048,0.002465
59:00.0,0.007269,0.000892,0.002048
00:00.0,0.007393,0.000731,0.001623
01:00.0,0.00749,0.000566,0.001192
02:00.0,0.007557,0.000399,0.000757
03:00.0,0.007596,0.00023,0.000318
04:00.0,0.007606,0.00006,-0.000122
05:00.0,0.007587,-0.000111,-0.000562
06:00.0,0.007538,-0.000281,-0.000999
07:00.0,0.007461,-0.000449,-0.001433
08:00.0,0.007355,-0.000615,-0.001862
09:00.0,0.007221,-0.000778,-0.002284
10:00.0,0.007059,-0.000936,-0.002698
11:00.0,0.00687,-0.00109,-0.003102
12:00.0,0.006655,-0.001238,-0.003494
13:00.0,0.006414,-0.001379,-0.003874
14:00.0,0.00615,-0.001513,-0.004239
15:00.0,0.005861,-0.001639,-0.004589
16:00.0,0.005551,-0.001757,-0.004922
17:00.0,0.00522,-0.001866,-0.005237
18:00.0,0.004869,-0.001965,-0.005532
19:00.0,0.0045,-0.002053,-0.005808
20:00.0,0.004114,-0.002131,-0.006062
21:00.0,0.003712,-0.002198,-0.006295
22:00.0,0.003297,-0.002253,-0.006504
23:00.0,0.00287,-0.002296,-0.00669
24:00.0,0.002433,-0.002328,-0.006852
25:00.0,0.001986,-0.002347,-0.006989
26:00.0,0.001532,-0.002354,-0.0071
27:00.0,0.001074,-0.002348,-0.007187
28:00.0,0.000611,-0.00233,-0.007247
29:00.0,0.000146,-0.0023,-0.007281
30:00.0,-0.000318,-0.002257,-0.007289
31:00.0,-0.000782,-0.002202,-0.00727
32:00.0,-0.001241,-0.002135,-0.007226
33:00.0,-0.001696,-0.002057,-0.007155
34:00.0,-0.002144,-0.001967,-0.007059
35:00.0,-0.002584,-0.001866,-0.006937
36:00.0,-0.003013,-0.001755,-0.00679
37:00.0,-0.003431,-0.001634,-0.006619
38:00.0,-0.003836,-0.001503,-0.006423
39:00.0,-0.004225,-0.001363,-0.006205
40:00.0,-0.004599,-0.001215,-0.005964
41:00.0,-0.004954,-0.00106,-0.005701
42:00.0,-0.005291,-0.000897,-0.005417
43:00.0,-0.005607,-0.000729,-0.005114
44:00.0,-0.005901,-0.000555,-0.004792
45:00.0,-0.006173,-0.000376,-0.004452
46:00.0,-0.006421,-0.000194,-0.004096
47:00.0,-0.006644,-0.000009,-0.003725
48:00.0,-0.006841,0.000177,-0.00334
49:00.0,-0.007012,0.000365,-0.002944
50:00.0,-0.007156,0.000553,-0.002536
51:00.0,-0.007272,0.00074,-0.002119
52:00.0,-0.007361,0.000925,-0.001694
53:00.0,-0.00742,0.001107,-0.001263
54:00.0,-0.007452,0.001286,-0.000828
55:00.0,-0.007454,0.00146,-0.000389
56:00.0,-0.007428,0.001629,0.00005
57:00.0,-0.007374,0.001791,0.00049
58:00.0,-0.007291,0.001946,0.000927
59:00.0,-0.007181,0.002094,0.001361
00:00.0,-0.007044,0.002232,0.001789
01:00.0,-0.006879,0.002361,0.002211
02:00.0,-0.006689,0.00248,0.002624
03:00.0,-0.006474,0.002589,0.003028
04:00.0,-0.006235,0.002685,0.00342
05:00.0,-0.005973,0.00277,0.0038
06:00.0,-0.005688,0.002843,0.004165
07:00.0,-0.005383,0.002903,0.004515
08:00.0,-0.005059,0.002949,0.004849
09:00.0,-0.004716,0.002982,0.005164
10:00.0,-0.004356,0.003002,0.005461
11:00.0,-0.003981,0.003007,0.005738
12:00.0,-0.003592,0.002999,0.005994
13:00.0,-0.00319,0.002976,0.006228
14:00.0,-0.002778,0.002939,0.00644
15:00.0,-0.002357,0.002888,0.006629
16:00.0,-0.001928,0.002823,0.006794
17:00.0,-0.001493,0.002745,0.006935
18:00.0,-0.001053,0.002653,0.007051
19:00.0,-0.000611,0.002547,0.007141
20:00.0,-0.000168,0.002429,0.007207
21:00.0,0.000275,0.002298,0.007246
22:00.0,0.000715,0.002155,0.00726
23:00.0,0.001152,0.002001,0.007248
24:00.0,0.001583,0.001836,0.007211
25:00.0,0.002007,0.00166,0.007147
26:00.0,0.002423,0.001475,0.007058
27:00.0,0.002828,0.001281,0.006944
28:00.0,0.003222,0.001079,0.006805
29:00.0,0.003603,0.00087,0.006642
30:00.0,0.003969,0.000654,0.006455
31:00.0,0.00432,0.000432,0.006245
32:00.0,0.004653,0.000206,0.006012
33:00.0,0.004969,-0.000024,0.005757
34:00.0,0.005264,-0.000257,0.005482
35:00.0,0.005539,-0.000491,0.005186
36:00.0,0.005793,-0.000727,0.004872
37:00.0,0.006024,-0.000962,0.00454
38:00.0,0.006231,-0.001195,0.004191
39:00.0,0.006414,-0.001426,0.003826
40:00.0,0.006572,-0.001654,0.003447
41:00.0,0.006705,-0.001877,0.003056
42:00.0,0.006811,-0.002094,0.002653
43:00.0,0.006891,-0.002305,0.00224
44:00.0,0.006945,-0.002508,0.001818
45:00.0,0.006971,-0.002702,0.00139
46:00.0,0.006971,-0.002887,0.000956
47:00.0,0.006943,-0.003061,0.000519
48:00.0,0.006889,-0.003224,0.000079
49:00.0,0.006809,-0.003374,-0.000361
50:00.0,0.006702,-0.003512,-0.000799
51:00.0,0.00657,-0.003635,-0.001235
52:00.0,0.006413,-0.003745,-0.001667
53:00.0,0.006232,-0.003839,-0.002092
54:00.0,0.006027,-0.003917,-0.00251
55:00.0,0.0058,-0.003979,-0.002918
56:00.0,0.005551,-0.004025,-0.003316
57:00.0,0.005282,-0.004054,-0.003702
58:00.0,0.004994,-0.004066,-0.004074
59:00.0,0.004687,-0.00406,-0.004431
00:00.0,0.004364,-0.004037,-0.004772
01:00.0,0.004025,-0.003997,-0.005095
02:00.0,0.003673,-0.003939,-0.0054
03:00.0,0.003307,-0.003864,-0.005684
04:00.0,0.002931,-0.003772,-0.005949
05:00.0,0.002545,-0.003663,-0.006191
06:00.0,0.002152,-0.003537,-0.006411
07:00.0,0.001751,-0.003395,-0.006608
